anio,carrera,sexo,via_ingreso,matriculas
2018,CONTA,M,ALUMNO VISITANTE POR RESOLUCIÓN,35
2018,CONTA,M,CAMBIO DE CARRERA,1
2018,CONTA,M,CONTINUIDAD BACHILLER,4
2018,CONTA,M,CUPO BEA,17
2018,CONTA,M,CUPO PACE,9
2018,CONTA,M,CUPO P.S.U.,393
2018,CONTA,M,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,2
2018,CONTA,M,INGRESO ESPECIAL VESPERTINO,14
2018,CONTA,M,OTROS,3
2018,CONTA,M,P.A.A. (REINSC/REPOST),1
2018,CONTA,M,PROSECUCION ESTUDIOS,9
2018,CONTA,M,TRASLADO DESDE OTRA INSTITUCIÓN,2
2018,DERECHO,F,CAMBIO DE CARRERA,3
2018,DERECHO,F,CONTINUIDAD BACHILLER,7
2018,DERECHO,F,CUPO BEA,2
2018,DERECHO,F,CUPO PACE,4
2018,DERECHO,F,CUPO PERSONAS EN SITUACIÓN DE DISCAPACIDAD,1
2018,DERECHO,F,CUPO P.S.U.,80
2018,DERECHO,F,CUPO PUEBLOS INDIGENAS,1
2018,DERECHO,M,CAMBIO DE CARRERA POR VOCACIÓN,1
2018,DERECHO,M,CONTINUIDAD BACHILLER,2
2018,DERECHO,M,CUPO BEA,1
2018,DERECHO,M,CUPO DEPORTISTA DESTACADO,1
2018,DERECHO,M,CUPO HIJO DE FUNCIONARIO,1
2018,DERECHO,M,CUPO PACE,1
2018,DERECHO,M,CUPO PERSONAS EN SITUACIÓN DE DISCAPACIDAD,1
2018,DERECHO,M,CUPO P.S.U.,41
2018,DERECHO,M,CUPO PUEBLOS INDIGENAS,1
2018,DERECHO,M,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,1
2018,DIN,F,INGRESO ESPECIAL VESPERTINO,2
2018,DIN,F,PROSECUCION ESTUDIOS,16
2018,DIN,M,PROSECUCION ESTUDIOS,11
2018,DIPIEDF,F,DIPLOMADO,1
2018,DIPIEDF,M,DIPLOMADO,8
2018,ENF,F,ALUMNO VISITANTE,1
2018,ENF,F,ALUMNO VISITANTE POR RESOLUCIÓN,5
2018,ENF,F,CONTINUIDAD BACHILLER,48
2018,ENF,F,CUPO BEA,20
2018,ENF,F,CUPO DEPORTISTA DESTACADO,2
2018,ENF,F,CUPO OFICIO DEMRE,1
2018,ENF,F,CUPO PACE,3
2018,ENF,F,CUPO P.S.U.,216
2018,ENF,F,CUPO PUEBLOS INDIGENAS,2
2018,ENF,F,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,2
2018,ENF,F,OTROS,1
2018,ENF,F,P.A.A. (REINSC/REPOST),1
2018,ENF,M,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,ENF,M,CONTINUIDAD BACHILLER,8
2018,ENF,M,CUPO BEA,4
2018,ENF,M,CUPO OFICIO DEMRE,1
2018,ENF,M,CUPO PACE,1
2018,ENF,M,CUPO P.S.U.,45
2018,ENF,M,CUPO PUEBLOS INDIGENAS,1
2018,ENF,M,TRASLADO DESDE OTRA INSTITUCIÓN,2
2018,HCS,F,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,HCS,F,CAMBIO DE CARRERA,2
2018,HCS,F,CONTINUIDAD BACHILLER,1
2018,HCS,F,CUPO PACE,1
2018,HCS,F,CUPO P.S.U.,48
2018,HCS,F,OTROS,1
2018,HCS,M,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,HCS,M,CAMBIO DE CARRERA,2
2018,HCS,M,CUPO P.S.U.,29
2018,ICELEC,F,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,ICELEC,F,CAMBIO DE CARRERA,2
2018,ICELEC,F,CONTINUIDAD BACHILLER,2
2018,ICELEC,F,CUPO PACE,1
2018,ICELEC,F,CUPO P.S.U.,59
2018,ICELEC,F,INGRESO ESPECIAL VESPERTINO,2
2018,ICELEC,F,OTROS,1
2018,ICELEC,M,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,ICELEC,M,CAMBIO DE CARRERA,4
2018,ICELEC,M,CONTINUIDAD BACHILLER,6
2018,ICELEC,M,CUPO BEA,19
2018,ICELEC,M,CUPO OFICIO DEMRE,3
2018,ICELEC,M,CUPO PACE,11
2018,ICELEC,M,CUPO P.S.U.,515
2018,ICELEC,M,INGRESO ESPECIAL VESPERTINO,70
2018,ICELEC,M,OTROS,28
2018,ICELEC,M,P.A.A.,2
2018,ICELEC,M,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICGEOG,F,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,ICGEOG,F,CAMBIO DE CARRERA,1
2018,ICGEOG,F,CONTINUIDAD BACHILLER,1
2018,ICGEOG,F,CUPO BEA,2
2018,ICGEOG,F,CUPO PACE,1
2018,ICGEOG,F,CUPO P.S.U.,55
2018,ICGEOG,M,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,ICGEOG,M,CUPO PACE,1
2018,ICGEOG,M,CUPO P.S.U.,72
2018,ICGEOG,M,OTROS,4
2018,ICIND,F,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,ICIND,F,CONTINUIDAD BACHILLER,20
2018,ICIND,F,CUPO BEA,31
2018,ICIND,F,CUPO DEPORTISTA DESTACADO,4
2018,ICIND,F,CUPO HIJO DE FUNCIONARIO,3
2018,ICIND,F,CUPO PACE,4
2018,ICIND,F,CUPO P.S.U.,265
2018,ICIND,F,INGRESO ESPECIAL VESPERTINO,62
2018,ICIND,F,OTROS,7
2018,ICIND,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICIND,M,ALUMNO VISITANTE POR RESOLUCIÓN,7
2018,ICIND,M,CONTINUIDAD BACHILLER,26
2018,ICIND,M,CUPO BEA,31
2018,ICIND,M,CUPO DEPORTISTA DESTACADO,3
2018,ICIND,M,CUPO HIJO DE FUNCIONARIO,4
2018,ICIND,M,CUPO OFICIO DEMRE,1
2018,ICIND,M,CUPO PACE,9
2018,ICIND,M,CUPO P.S.U.,352
2018,ICIND,M,CUPO PUEBLOS INDIGENAS,3
2018,ICIND,M,INGRESO ESPECIAL VESPERTINO,162
2018,ICIND,M,OTROS,21
2018,ICIND,M,PROSECUCION ESTUDIOS,8
2018,ICIND,M,TRASLADO DESDE OTRA INSTITUCIÓN,4
2018,ICINF,F,ALUMNO VISITANTE POR RESOLUCIÓN,1
2018,ICINF,F,CUPO BEA,4
2018,ICINF,F,CUPO PACE,3
2018,ICINF,F,CUPO P.S.U.,49
2018,ICINF,F,OTROS,2
2018,ICINF,F,PROSECUCION ESTUDIOS,1
2018,ICINF,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICINF,M,ALUMNO VISITANTE POR RESOLUCIÓN,4
2018,ICINF,M,CAMBIO DE CARRERA,5
2018,ICINF,M,CONTINUIDAD BACHILLER,1
2018,ICINF,M,CUPO BEA,22
2018,ICINF,M,CUPO PACE,6
2018,ICINF,M,CUPO P.S.U.,281
2018,ICINF,M,CUPO PUEBLOS INDIGENAS,1
2018,ICINF,M,INGRESO ESPECIAL VESPERTINO,19
2018,ICINF,M,OTROS,6
2018,ICINF,M,P.A.A.,2
2018,ICINF,M,PROSECUCION ESTUDIOS,11
2018,ICINF,M,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICMEC,F,ALUMNO VISITANTE POR RESOLUCIÓN,1
2018,ICMEC,F,CAMBIO DE CARRERA,1
2018,ICMEC,F,CUPO BEA,1
2018,ICMEC,F,CUPO PACE,1
2018,ICMEC,F,CUPO P.S.U.,52
2018,ICMEC,F,CUPO PUEBLOS INDIGENAS,1
2018,ICMEC,F,INGRESO ESPECIAL VESPERTINO,8
2018,ICMEC,F,OTROS,1
2018,ICMEC,M,ALUMNO VISITANTE POR RESOLUCIÓN,4
2018,ICMEC,M,CAMBIO DE CARRERA,10
2018,ICMEC,M,CONTINUIDAD BACHILLER,3
2018,ICMEC,M,CUPO BEA,13
2018,ICMEC,M,CUPO HIJO DE FUNCIONARIO,3
2018,ICMEC,M,CUPO OFICIO DEMRE,2
2018,ICMEC,M,CUPO PACE,11
2018,ICMEC,M,CUPO P.S.U.,467
2018,ICMEC,M,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,1
2018,ICMEC,M,INGRESO ESPECIAL VESPERTINO,82
2018,ICMEC,M,OTROS,15
2018,ICMEC,M,PROSECUCION ESTUDIOS,4
2018,ICMEC,M,TRASLADO DESDE OTRA INSTITUCIÓN,2
2018,ICMET,F,CAMBIO DE CARRERA,1
2018,ICMET,F,CONTINUIDAD BACHILLER,1
2018,ICMET,F,CUPO BEA,1
2018,ICMET,F,CUPO PACE,3
2018,ICMET,F,CUPO P.S.U.,76
2018,ICMET,F,INGRESO ESPECIAL VESPERTINO,5
2018,ICMET,F,OTROS,5
2018,ICMET,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICMET,M,CAMBIO DE CARRERA,2
2018,ICMET,M,CONTINUIDAD BACHILLER,1
2018,ICMET,M,CUPO BEA,8
2018,ICMET,M,CUPO DEPORTISTA DESTACADO,1
2018,ICMET,M,CUPO OFICIO DEMRE,1
2018,ICMET,M,CUPO PACE,4
2018,ICMET,M,CUPO P.S.U.,194
2018,ICMET,M,INGRESO ESPECIAL VESPERTINO,22
2018,ICMET,M,OTROS,15
2018,ICMET,M,P.A.A.,1
2018,ICMET,M,PROSECUCION ESTUDIOS,1
2018,ICMET,M,TRASLADO DESDE OTRA INSTITUCIÓN,2
2018,ICMIN,F,ALUMNO VISITANTE POR RESOLUCIÓN,1
2018,ICMIN,F,CONTINUIDAD BACHILLER,5
2018,ICMIN,F,CUPO BEA,13
2018,ICMIN,F,CUPO DEPORTISTA DESTACADO,1
2018,ICMIN,F,CUPO HIJO DE FUNCIONARIO,1
2018,ICMIN,F,CUPO PACE,2
2018,ICMIN,F,CUPO P.S.U.,146
2018,ICMIN,F,INGRESO ESPECIAL VESPERTINO,15
2018,ICMIN,F,OTROS,3
2018,ICMIN,F,PROSECUCION ESTUDIOS,10
2018,ICMIN,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICMIN,M,ALUMNO VISITANTE POR RESOLUCIÓN,1
2018,ICMIN,M,CAMBIO DE CARRERA,7
2018,ICMIN,M,CAMBIO DE PLAN DE ESTUDIOS,1
2018,ICMIN,M,CONTINUIDAD BACHILLER,17
2018,ICMIN,M,CUPO BEA,28
2018,ICMIN,M,CUPO DEPORTISTA DESTACADO,4
2018,ICMIN,M,CUPO HIJO DE FUNCIONARIO,2
2018,ICMIN,M,CUPO OFICIO DEMRE,1
2018,ICMIN,M,CUPO PACE,7
2018,ICMIN,M,CUPO P.S.U.,414
2018,ICMIN,M,CUPO PUEBLOS INDIGENAS,1
2018,ICMIN,M,INGRESO ESPECIAL VESPERTINO,102
2018,ICMIN,M,OTROS,36
2018,ICMIN,M,P.A.A.,2
2018,ICMIN,M,PROSECUCION ESTUDIOS,63
2018,ICMIN,M,TRASLADO DESDE OTRA INSTITUCIÓN,5
2018,ICOBR,F,ALUMNO VISITANTE POR RESOLUCIÓN,4
2018,ICOBR,F,CAMBIO DE CARRERA,2
2018,ICOBR,F,CONTINUIDAD BACHILLER,3
2018,ICOBR,F,CUPO BEA,8
2018,ICOBR,F,CUPO DEPORTISTA DESTACADO,1
2018,ICOBR,F,CUPO PACE,3
2018,ICOBR,F,CUPO P.S.U.,117
2018,ICOBR,F,CUPO PUEBLOS INDIGENAS,1
2018,ICOBR,F,INGRESO ESPECIAL VESPERTINO,8
2018,ICOBR,F,OTROS,2
2018,ICOBR,F,P.A.A.,1
2018,ICOBR,M,ALUMNO VISITANTE POR RESOLUCIÓN,5
2018,ICOBR,M,CAMBIO DE CARRERA,3
2018,ICOBR,M,CONTINUIDAD BACHILLER,6
2018,ICOBR,M,CUPO BEA,23
2018,ICOBR,M,CUPO DEPORTISTA DESTACADO,3
2018,ICOBR,M,CUPO PACE,7
2018,ICOBR,M,CUPO P.S.U.,321
2018,ICOBR,M,INGRESO ESPECIAL VESPERTINO,33
2018,ICOBR,M,OTROS,20
2018,ICOBR,M,P.A.A.,1
2018,ICOBR,M,PROGRAMA ESPECIAL DE REGULARIZACION,1
2018,ICOBR,M,PROSECUCION ESTUDIOS,1
2018,ICOBR,M,TRASLADO DESDE OTRA INSTITUCIÓN,5
2018,ICQUIM,F,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,ICQUIM,F,CAMBIO DE CARRERA,1
2018,ICQUIM,F,CONTINUIDAD BACHILLER,3
2018,ICQUIM,F,CUPO BEA,4
2018,ICQUIM,F,CUPO DEPORTISTA DESTACADO,2
2018,ICQUIM,F,CUPO PACE,1
2018,ICQUIM,F,CUPO P.S.U.,166
2018,ICQUIM,F,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,1
2018,ICQUIM,F,OTROS,3
2018,ICQUIM,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,ICQUIM,M,ALUMNO VISITANTE POR RESOLUCIÓN,5
2018,ICQUIM,M,CAMBIO DE CARRERA,3
2018,ICQUIM,M,CUPO BEA,8
2018,ICQUIM,M,CUPO DEPORTISTA DESTACADO,1
2018,ICQUIM,M,CUPO HIJO DE FUNCIONARIO,1
2018,ICQUIM,M,CUPO PACE,2
2018,ICQUIM,M,CUPO P.S.U.,174
2018,ICQUIM,M,OTROS,6
2018,ICQUIM,M,PROSECUCION ESTUDIOS,1
2018,ICQUIM,M,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,IEAMB,F,INGRESO ESPECIAL VESPERTINO,20
2018,IEAMB,F,PROSECUCION ESTUDIOS,1
2018,IEAMB,M,INGRESO ESPECIAL VESPERTINO,30
2018,IEAMB,M,PROSECUCION ESTUDIOS,3
2018,IECLIM,F,CUPO P.S.U.,28
2018,IECLIM,M,CUPO PACE,1
2018,IECLIM,M,CUPO P.S.U.,112
2018,IECLIM,M,PROSECUCION ESTUDIOS,1
2018,IEELEC,F,CAMBIO DE CARRERA,2
2018,IEELEC,F,CUPO BEA,1
2018,IEELEC,F,CUPO PACE,1
2018,IEELEC,F,CUPO PERSONAS EN SITUACIÓN DE DISCAPACIDAD,1
2018,IEELEC,F,CUPO P.S.U.,26
2018,IEELEC,F,INGRESO ESPECIAL VESPERTINO,19
2018,IEELEC,F,OTROS,13
2018,IEELEC,M,CAMBIO DE CARRERA,22
2018,IEELEC,M,CONTINUIDAD BACHILLER,6
2018,IEELEC,M,CUPO BEA,9
2018,IEELEC,M,CUPO HIJO DE FUNCIONARIO,1
2018,IEELEC,M,CUPO PACE,7
2018,IEELEC,M,CUPO P.S.U.,289
2018,IEELEC,M,INGRESO ESPECIAL VESPERTINO,325
2018,IEELEC,M,OTROS,91
2018,IEELEC,M,P.A.A.,2
2018,IEELEC,M,P.A.A. (REINSC/REPOST),2
2018,IEGEOM,F,CAMBIO DE CARRERA,2
2018,IEGEOM,F,CONTINUIDAD BACHILLER,1
2018,IEGEOM,F,CUPO PACE,1
2018,IEGEOM,F,CUPO P.S.U.,52
2018,IEGEOM,F,INGRESO ESPECIAL VESPERTINO,7
2018,IEGEOM,F,OTROS,8
2018,IEGEOM,F,PROSECUCION ESTUDIOS,1
2018,IEGEOM,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,IEGEOM,M,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,IEGEOM,M,CAMBIO DE CARRERA,3
2018,IEGEOM,M,CONTINUIDAD BACHILLER,1
2018,IEGEOM,M,CUPO BEA,2
2018,IEGEOM,M,CUPO PACE,2
2018,IEGEOM,M,CUPO P.S.U.,96
2018,IEGEOM,M,ING. ESP. CONCEPCION,1
2018,IEGEOM,M,INGRESO ESPECIAL VESPERTINO,31
2018,IEGEOM,M,OTROS,12
2018,IEGEOM,M,PROGRAMA ESPECIAL DE REGULARIZACION,1
2018,IEGEOM,M,PROSECUCION ESTUDIOS,7
2018,IEIND,F,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,IEIND,F,CONTINUIDAD BACHILLER,1
2018,IEIND,F,CUPO BEA,8
2018,IEIND,F,CUPO DEPORTISTA DESTACADO,2
2018,IEIND,F,CUPO PACE,4
2018,IEIND,F,CUPO P.S.U.,130
2018,IEIND,F,INGRESO ESPECIAL VESPERTINO,73
2018,IEIND,F,OTROS,22
2018,IEIND,F,P.A.A. (REINSC/REPOST),1
2018,IEIND,F,PROSECUCION ESTUDIOS,2
2018,IEIND,M,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,IEIND,M,CAMBIO DE CARRERA,2
2018,IEIND,M,CUPO BEA,11
2018,IEIND,M,CUPO DEPORTISTA DESTACADO,6
2018,IEIND,M,CUPO OFICIO DEMRE,1
2018,IEIND,M,CUPO PACE,2
2018,IEIND,M,CUPO P.S.U.,223
2018,IEIND,M,INGRESO ESPECIAL VESPERTINO,178
2018,IEIND,M,OTROS,41
2018,IEIND,M,PROGRAMA ESPECIAL DE REGULARIZACION,1
2018,IEIND,M,PROSECUCION ESTUDIOS,6
2018,IEINF,F,CAMBIO DE CARRERA,2
2018,IEINF,F,CUPO BEA,1
2018,IEINF,F,CUPO PACE,1
2018,IEINF,F,CUPO PERSONAS EN SITUACIÓN DE DISCAPACIDAD,1
2018,IEINF,F,CUPO P.S.U.,17
2018,IEINF,F,INGRESO ESPECIAL VESPERTINO,2
2018,IEINF,F,OTROS,17
2018,IEINF,F,P.A.A.,1
2018,IEINF,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,IEINF,M,ALUMNO VISITANTE POR RESOLUCIÓN,2
2018,IEINF,M,CAMBIO DE CARRERA,2
2018,IEINF,M,CAMBIO DE CARRERA POR VOCACIÓN,1
2018,IEINF,M,CUPO BEA,14
2018,IEINF,M,CUPO DEPORTISTA DESTACADO,2
2018,IEINF,M,CUPO PACE,2
2018,IEINF,M,CUPO P.S.U.,134
2018,IEINF,M,INGRESO ESPECIAL VESPERTINO,56
2018,IEINF,M,OTROS,89
2018,IEINF,M,P.A.A.,1
2018,IEINF,M,PROSECUCION ESTUDIOS,6
2018,IEINF,M,TRASLADO DESDE OTRA INSTITUCIÓN,3
2018,IEMEC,F,CAMBIO DE CARRERA,1
2018,IEMEC,F,CUPO BEA,1
2018,IEMEC,F,CUPO P.S.U.,19
2018,IEMEC,F,INGRESO ESPECIAL VESPERTINO,6
2018,IEMEC,F,OTROS,16
2018,IEMEC,M,CAMBIO DE CARRERA,7
2018,IEMEC,M,CONTINUIDAD BACHILLER,2
2018,IEMEC,M,CUPO BEA,4
2018,IEMEC,M,CUPO DEPORTISTA DESTACADO,1
2018,IEMEC,M,CUPO PACE,4
2018,IEMEC,M,CUPO P.S.U.,210
2018,IEMEC,M,INGRESO ESPECIAL VESPERTINO,136
2018,IEMEC,M,OTROS,132
2018,IEMEC,M,PROSECUCION ESTUDIOS,4
2018,IEMEC,M,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,IEMET,F,CUPO BEA,2
2018,IEMET,F,CUPO P.S.U.,43
2018,IEMET,F,OTROS,5
2018,IEMET,F,P.A.A. (REINSC/REPOST),1
2018,IEMET,M,CAMBIO DE CARRERA,5
2018,IEMET,M,CONTINUIDAD BACHILLER,1
2018,IEMET,M,CUPO BEA,3
2018,IEMET,M,CUPO PACE,2
2018,IEMET,M,CUPO P.S.U.,136
2018,IEMET,M,OTROS,51
2018,IEMET,M,P.A.A. (REINSC/REPOST),1
2018,IEMET,M,PROSECUCION ESTUDIOS,1
2018,IEMET,M,REINCORPORADO,1
2018,IEMIN,F,CAMBIO DE CARRERA,1
2018,IEMIN,F,CUPO BEA,3
2018,IEMIN,F,CUPO DEPORTISTA DESTACADO,2
2018,IEMIN,F,CUPO P.S.U.,67
2018,IEMIN,F,OTROS,22
2018,IEMIN,F,P.A.A.,2
2018,IEMIN,M,CAMBIO DE CARRERA,16
2018,IEMIN,M,CONTINUIDAD BACHILLER,4
2018,IEMIN,M,CUPO BEA,5
2018,IEMIN,M,CUPO DEPORTISTA DESTACADO,1
2018,IEMIN,M,CUPO PACE,5
2018,IEMIN,M,CUPO P.S.U.,175
2018,IEMIN,M,INGRESO ESPECIAL PARA ESTUDIANTES EXTRANJEROS,1
2018,IEMIN,M,OTROS,88
2018,IEMIN,M,P.A.A.,2
2018,IEMIN,M,PROSECUCION ESTUDIOS,3
2018,IEQUIM,F,CAMBIO DE CARRERA,4
2018,IEQUIM,F,CONTINUIDAD BACHILLER,2
2018,IEQUIM,F,CUPO P.S.U.,69
2018,IEQUIM,F,INGRESO ESPECIAL VESPERTINO,23
2018,IEQUIM,F,OTROS,20
2018,IEQUIM,F,PROGRAMA ESPECIAL DE REGULARIZACION,2
2018,IEQUIM,F,PROSECUCION ESTUDIOS,9
2018,IEQUIM,F,TRASLADO DESDE OTRA INSTITUCIÓN,3
2018,IEQUIM,M,CAMBIO DE CARRERA,1
2018,IEQUIM,M,CONTINUIDAD BACHILLER,1
2018,IEQUIM,M,CUPO BEA,2
2018,IEQUIM,M,CUPO DEPORTISTA DESTACADO,1
2018,IEQUIM,M,CUPO P.S.U.,91
2018,IEQUIM,M,INGRESO ESPECIAL VESPERTINO,37
2018,IEQUIM,M,OTROS,21
2018,IEQUIM,M,P.A.A. (REINSC/REPOST),1
2018,IEQUIM,M,PROSECUCION ESTUDIOS,6
2018,IEQUIM,M,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,INGAGRO,F,ALUMNO VISITANTE POR RESOLUCIÓN,1
2018,INGAGRO,F,CAMBIO DE CARRERA,1
2018,INGAGRO,F,CONTINUIDAD BACHILLER,2
2018,INGAGRO,F,CUPO P.S.U.,120
2018,INGAGRO,M,ALUMNO VISITANTE POR RESOLUCIÓN,1
2018,INGAGRO,M,CAMBIO DE CARRERA,2
2018,INGAGRO,M,CUPO DEPORTISTA DESTACADO,1
2018,INGAGRO,M,CUPO PACE,1
2018,INGAGRO,M,CUPO P.S.U.,79
2018,INGAGRO,M,CUPO PUEBLOS INDIGENAS,1
2018,INGAL,F,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,INGAL,F,CAMBIO DE CARRERA,4
2018,INGAL,F,CAMBIO DE PLAN DE ESTUDIOS,8
2018,INGAL,F,CUPO BEA,1
2018,INGAL,F,CUPO PACE,3
2018,INGAL,F,CUPO P.S.U.,132
2018,INGAL,F,PROSECUCION ESTUDIOS,1
2018,INGAL,F,TRASLADO DESDE OTRA INSTITUCIÓN,1
2018,INGAL,M,ALUMNO VISITANTE POR RESOLUCIÓN,3
2018,INGAL,M,CAMBIO DE CARRERA,1
2018,INGAL,M,CAMBIO DE PLAN DE ESTUDIOS,3
2018,INGAL,M,CUPO BEA,1
2018,INGAL,M,CUPO PACE,1
2018,INGAL,M,CUPO P.S.U.,37
2018,INGAL,M,TRASLADO DESDE OTRA INSTITUCIÓN,1
